Month,Price
21-Aug-20,957.66
10-Jul-20,779.28
22-May-20,673.32
27-Mar-20,603.63
01-Feb-20,780.33
13-Dec-19,713.25
18-Oct-19,772.64
23-Aug-19,793.55
05-Jul-19,730.88
10-May-19,720.04
22-Mar-19,728.63
25-Jan-19,736.87
30-Nov-18,651.05
12-Oct-18,696.96
17-Aug-18,709.62
22-Jun-18,624.66
04-May-18,594.03
09-Mar-18,577.14
12-Jan-18,528.39
24-Nov-17,489.39
29-Sep-17,449.7
11-Aug-17,487.04
16-Jun-17,477.26
21-Apr-17,461.78
03-Mar-17,510.45
06-Jan-17,496.11
11-Nov-16,477.98
23-Sep-16,526.85
29-Jul-16,540.63
03-Jun-16,630.29
13-Apr-16,589.8
19-Feb-16,551.94
01-Jan-16,550.64
06-Nov-15,567.47
11-Sep-15,537.75
24-Jul-15,540.27
29-May-15,501.62
01-Apr-15,551.69
13-Feb-15,570.97
19-Dec-14,488.3
31-Oct-14,486.77
05-Sep-14,459.68
11-Jul-14,415.44
23-May-14,386.95
28-Mar-14,406.82
31-Jan-14,463.27
13-Dec-13,420.55
18-Oct-13,414.45
23-Aug-13,374.79
05-Jul-13,304.6
11-May-13,294.49
22-Mar-13,357.96
25-Jan-13,349.56
30-Nov-12,305.32
12-Oct-12,311.43
17-Aug-12,291.13
22-Jun-12,310.62
04-May-12,308.1
09-Mar-12,356.3
13-Jan-12,342.48
25-Nov-11,332.82
30-Sep-11,308.84
12-Aug-11,302.7
17-Jun-11,353.89
21-Apr-11,362.84
04-Mar-11,380.25
07-Jan-11,431.21
12-Nov-10,380.28
24-Sep-10,378.86
30-Jul-10,352.18
04-Jun-10,333.74
16-Apr-10,345.48
19-Feb-10,315.63
31-Dec-09,323.26
06-Nov-09,275.65
11-Sep-09,278.14
24-Jul-09,244.92
29-May-09,195.78
02-Apr-09,169.33
